District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Arkansas 2nd,AR-02,French,Hill,(FRENCH HILL),/fɹɛntʃ hɪl/,1956,Roman Catholic,2014,43.6%,51.9%,R+,8,43.9%,56.1%,R+,8,45.2%,54.8%,R+,9,45.7%,54.3%,41.7%,58.3%,73.4%,19.6%,4.0%,1.4%,0.4%,1.1%,,,19,"237,330","103,477","123,073","10,780","113,156","158,175",,,-8.3,"125,527","160,140",-8.0,"129,888","157,732",-8.5,729192,512941,155352,35048,10421,3117,12313,553609,406362,108270,22315,7972,2387,6303,,,Maine,95.6%,0.9%,1.0%,1.0%,0.6%,1.1%,57.9%,42.1%,D+,6,63.8%,36.2%,,5.90,,,,19,1328361,1254297,15154,16935,13755,8210,20010,1053828,1007023,9034,10525,10018,6079,11149,401306,292276,0.637832,0.362168
Arkansas 3rd,AR-03,Steve,Womack,(STEEV WOH-mack),/stiv 'woʊ.mæk/,1957,Southern Baptist,2010,0%,79.4%,R+,19,32.6%,67.4%,R+,19,34.7%,65.3%,R+,19,0%,100%,0%,100%,81.8%,2.4%,10.0%,2.9%,1.3%,1.6%,,,20,"190,935",0,"151,630","39,305",0,"186,467",,,-19.2,"81,413","168,703",-19.4,"85,866","161,902",-19.0,728959,569478,18752,92851,22190,9591,16097,541997,443612,13066,54056,15601,6814,8848,,,Maryland,57.2%,28.0%,7.3%,5.6%,0.2%,1.6%,63.3%,36.7%,D+,11,60.7%,39.3%,,11.36,,,,20,5773552,3157958,1674229,470632,319106,13815,137812,4420588,2529506,1239796,322308,247474,10722,70782,1677844,971869,0.606702,0.393298
Arkansas 4th,AR-04,Bruce,Westerman,(BROOS WEST-er-muhn),/bɹus 'wɛ.stəɹ.mən/,1967,Southern Baptist,2014,42.6%,53.7%,R+,15,36.7%,63.3%,R+,15,38.4%,61.6%,R+,15,44.2%,55.8%,38.1%,61.9%,75.4%,18.3%,4.0%,0.6%,0.6%,1.0%,,,21,"206,131","87,742","110,789","7,600","95,013","154,149",,,-15.3,"95,383","164,352",-15.2,"103,886","166,465",-15.3,729002,529923,141313,37849,4729,4634,10554,555814,419039,101917,22266,3434,3444,5714,,,Massachusetts,78.6%,5.6%,8.1%,5.3%,0.2%,2.3%,61.8%,38.2%,D+,10,55.8%,44.2%,,9.82,,,,21,6547629,4984800,391693,627654,348962,10778,183742,5128706,4029458,288523,416775,270278,8219,115453,1921761,1188460,0.557596,0.442404
California 1st,CA-01,Doug,LaMalfa,(DUHG luh-MAL-fuh),/dʌg lə.'mæl.fə/,1960,Christian,2012,39.0%,61.0%,R+,10,41.6%,58.4%,R+,10,44.0%,56.0%,R+,10,39.0%,61.0%,42.6%,57.4%,82.1%,1.3%,9.9%,2.3%,1.8%,2.6%,,,22,"216,372","84,320","132,052",0,"125,386","168,827",,,-10.0,"122,379","171,902",-10.4,"139,522","177,360",-9.7,704304,556527,9075,84890,17617,13263,22932,555171,455854,7455,55094,12852,9745,14171,,,Michigan,79.1%,13.2%,3.5%,2.3%,0.5%,1.3%,54.8%,45.2%,D+,3,51.0%,49.0%,,2.84,,,,22,9883640,7569939,1383756,436358,238660,54665,200262,7539572,5960698,998309,264511,176944,40071,99039,2564569,2115256,0.510496,0.489504
California 2nd,CA-02,Jared,Huffman,(JAIR-ed HUHF-muhn),/'dʒɛ.ɹɛd 'hʌf.mən/,1964,Unspecified,2012,75.0%,25.0%,D+,20,71.9%,28.1%,D+,20,73.7%,26.3%,D+,20,75.0%,25.0%,71.2%,28.8%,76.2%,1.7%,14.1%,3.6%,1.9%,2.5%,,,23,"217,524","163,124","54,400",0,"226,216","91,310",,,20.0,"230,212","89,908",19.9,"255,585","91,121",20.0,701504,510654,11090,116747,24899,14751,23363,554173,422538,9268,78130,19890,10399,13948,,,Minnesota,86.1%,4.3%,3.7%,3.7%,0.9%,1.2%,53.9%,46.1%,D+,2,52.2%,47.8%,,1.98,,,,23,5303925,4405142,269141,250258,214856,55421,109107,4019862,3462644,174688,148836,147365,38010,48319,1546167,1320225,0.522252,0.477748
California 3rd,CA-03,John,Garamendi,(JAHN gair-uh-MEN-dee),/dʒɑn ˌgɛ.ɹə.'mɛn.di/,1945,Roman Catholic,2009*,52.7%,47.3%,D+,3,55.8%,44.2%,D+,4,56.1%,43.9%,D+,2,52.7%,47.3%,54.2%,45.8%,55.1%,6.0%,23.6%,11.2%,0.9%,3.3%,,,24,"150,260","79,224","71,036",0,"126,882","107,086",,,3.1,"131,237","104,145",3.8,"139,554","109,020",2.5,702044,356604,40957,194579,73565,6199,30140,525021,289176,31514,123713,58628,4659,17331,,,Mississippi,61.0%,34.6%,2.5%,0.9%,0.4%,0.7%,44.2%,55.8%,R+,8,41.7%,58.3%,,-7.77,,,,24,2967297,1722287,1093512,81481,26425,13845,29747,2211742,1348246,764250,54977,20171,9440,14658,562949,710746,0.416527,0.583473
California 4th,CA-04,Tom,McClintock,(TAHM mu-KLIN-tahk),/tɑm mə.'klɪn.tɑk/,1956,Baptist,2008,0%,100%,R+,10,40.6%,59.4%,R+,11,44.5%,55.5%,R+,9,0%,100%,38.9%,61.1%,81.0%,1.2%,10.4%,4.0%,1.0%,2.3%,,,25,"211,134",0,"211,134",0,"125,885","197,803",,,-10.3,"133,473","195,388",-11.4,"149,979","187,349",-9.2,701728,548837,8267,86784,28965,7314,21561,543649,440426,6626,56547,21935,5584,12531,,,Missouri,83.0%,10.7%,2.9%,1.7%,0.4%,1.2%,45.2%,54.8%,R+,7,49.5%,50.5%,,-6.74,,,,25,5988927,4850748,687149,212470,102984,24062,111514,4563491,3789292,489611,131812,78258,18397,56121,1223796,1482440,0.4950859022,0.5049140978
California 5th,CA-05,Mike,Thompson,(MIKE TAHMP-suhn),/maɪk 'tɑmp.sən/,1951,Roman Catholic,1998,75.7%,0%,D+,19,71.8%,28.2%,D+,20,72.5%,27.5%,D+,19,100%,0%,74.5%,25.5%,57.8%,6.2%,21.5%,11.3%,0.6%,2.6%,,,26,"171,148","129,613",0,"41,535","202,872","69,545",,,19.3,"199,924","78,703",19.8,"215,794","81,984",18.8,706154,373331,45269,181046,77273,4349,24886,547233,316081,34010,117611,61790,3388,14353,,,Montana,90.0%,0.3%,2.3%,0.7%,5.1%,1.6%,43.0%,57.0%,R+,9,43.0%,57.0%,,-9.00,,,,26,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376,201839,267928,0.430001,0.569999
California 6th,CA-06,Doris,Matsui,(DOR-iss matt-SOO-ee),/'dɔ.ɹɪs mæt.'su.i/,1944,Methodist,2005*,72.7%,27.3%,D+,18,71.0%,29.0%,D+,19,69.8%,30.2%,D+,16,72.7%,27.3%,75.1%,24.9%,43.7%,12.1%,23.3%,16.4%,0.6%,3.7%,,,27,"133,456","97,008","36,448",0,"160,667","53,406",,,17.5,"156,141","63,862",19.0,"162,876","70,609",16.1,702413,272613,88367,189643,113647,4236,33907,520901,227625,63260,121584,85552,3357,19523,,,Nebraska,85.4%,4.0%,7.2%,1.8%,0.7%,1.0%,38.9%,61.1%,R+,13,35.0%,65.0%,,-13.09,,,,27,1826341,1499753,80959,167405,32885,14797,30542,1367120,1166956,54981,98221,24103,9637,13222,302081,475064,0.350134,0.649866
California 7th,CA-07,Ami,Bera,(AH-mee BEAR-uh),/'ɑ.mi 'bɛ.ɹə/,1965,Unitarian Universalist,2012,50.4%,49.6%,R+,0,52.0%,48.0%,D+,0,52.7%,47.3%,R+,1,50.4%,49.6%,51.7%,48.3%,61.4%,7.0%,13.6%,14.1%,0.5%,3.3%,,,28,"183,587","92,521","91,066",0,"141,241","132,050",,,-0.4,"145,147","133,888",0.1,"152,833","136,931",-0.9,698200,400468,51089,112087,99245,3575,31736,521668,320465,36698,71114,73359,2796,17236,,,Nevada,58.9%,7.5%,22.3%,8.1%,0.9%,2.2%,53.4%,46.6%,D+,1,52.0%,48.0%,,1.44,,,,28,2700551,1462081,208058,716501,206503,23536,83872,2035543,1199298,152510,454534,165855,17857,45489,531373,463567,353511,326727
California 8th,CA-08,Paul,Cook,(PAWL COOK),/pɔl kʊk/,1943,Roman Catholic,2012,32.3%,67.7%,R+,10,42.8%,57.2%,R+,9,43.5%,56.5%,R+,10,32.3%,67.7%,0%,100%,56.0%,7.1%,30.3%,3.5%,1.1%,2.2%,,,29,"114,472","37,020","77,452",0,0,179644,,,-9.7,"88,579","118,278",-9.1,"93,727","121,609",-10.2,704301,352877,53306,249040,22288,6914,19876,504172,282090,35578,152682,17547,5367,10908,,,New Hampshire,93.6%,0.9%,2.2%,2.0%,0.2%,1.0%,52.8%,47.2%,D+,1,51.1%,48.9%,,0.87,,,,29,1316470,1215050,13625,36704,28570,2693,19828,1029236,962931,9436,22934,21086,2124,10725,369561,329918,0.510891,0.489109
California 9th,CA-09,Jerry,McNerney,(JAIR-ee mick-NER-nee),/'dʒɛ.ɹi mɪk.'nɜɹ.ni/,1951,Roman Catholic,2006,52.4%,47.6%,D+,6,59.0%,41.0%,D+,7,58.0%,42.0%,D+,4,52.4%,47.6%,55.6%,44.4%,42.0%,8.1%,32.6%,14.2%,0.5%,2.7%,,,30,"121,204","63,475","57,729",0,"118,373","94,704",,,5.7,"127,418","88,403",7.1,"125,050","90,524",4.3,702985,259204,58406,261012,96447,3180,24736,498183,209238,40215,162433,70555,2460,13282,,,New Jersey,61.7%,12.4%,16.3%,8.1%,0.1%,1.4%,59.0%,41.0%,D+,7,54.0%,46.0%,,7.02,,,,30,8791894,5214878,1125401,1555144,721790,12227,162454,6726680,4149566,832756,1094143,547857,8784,93574,2126610,1478749,0.539888,0.460112
California 10th,CA-10,Jeff,Denham,(JEFF DEN-um),/dʒɛf 'dɛn.əm,1967,Presbyterian,2010,43.9%,56.1%,R+,1,51.8%,48.2%,R+,0,51.4%,48.6%,R+,2,43.9%,56.1%,47.3%,52.7%,51.8%,3.3%,34.8%,6.9%,0.6%,2.6%,,,31,"125,705","55,123","70,582",0,"98,934","110,265",,,-1.2,"108,923","101,160",-0.1,"111,201","105,001",-2.3,704763,327195,22872,282246,46451,3772,22227,501640,259974,16522,174810,34451,3016,12867,,,New Mexico,45.3%,1.8%,42.3%,1.4%,7.9%,1.3%,55.3%,44.7%,D+,3,52.7%,47.3%,,3.33,,,,31,2059179,833810,35462,953403,27551,175368,33585,1540507,697848,27453,651326,21943,121962,19975,415335,335788,0.527057,0.472943
California 11th,CA-11,Mark,DeSaulnier,(MARK duh-SOWN-yay),/mɑɹk də.'soʊn.jeɪ/,1952,Roman Catholic,2014,67.3%,32.7%,D+,17,69.3%,30.7%,D+,17,70.7%,29.3%,D+,17,67.3%,32.7%,69.7%,30.3%,52.3%,8.8%,22.1%,13.7%,0.3%,2.8%,,,32,"174,662","117,502","57,160",0,"200,743","87,136",,,17.2,"203,699","90,226",17.3,"216,612","89,657",17.0,703454,340992,62761,180136,90522,1750,27293,536843,280764,47427,118732,73394,1419,15107,,,New York,60.4%,13.9%,16.2%,7.5%,0.3%,1.7%,64.3%,35.7%,D+,12,61.2%,38.8%,,12.34,,,,32,19378102,11304236,2783852,3416915,1411512,53908,407651,15053150,9098285,2095443,2444396,1124261,39142,251623,4485877,2490496,0.612157,0.387843
California 12th,CA-12,Nancy,Pelosi,(NANN-see puh-LOW-see),/'næn.si pə.'loʊ.si/,1940,Roman Catholic,1986,83.3%,16.7%,D+,34,87.1%,12.9%,D+,35,86.8%,13.2%,D+,33,83.3%,16.7%,85.1%,14.9%,46.3%,5.6%,13.5%,31.5%,0.2%,2.9%,,,33,"192,264","160,067","32,197",0,"253,709","44,478",,,34.1,"269,461","40,003",35.1,"288,054","43,918",33.1,704634,309837,41248,103420,223176,1649,25304,614229,284283,34401,83033,193448,1507,17557,,,North Carolina,68.4%,20.4%,6.8%,2.2%,1.1%,1.1%,49.0%,51.0%,R+,3,50.6%,49.4%,,-3.00,,,,33,9535483,6223995,2019854,800120,211838,108829,170847,7253848,4964325,1480769,492330,156328,79295,80801,2178391,2270395,0.505617,0.494383
California 13th,CA-13,Barbara,Lee,(BAR-bruh LEE),/'bɑɹ.bɹə li/,1946,Baptist,1998*,88.5%,11.5%,D+,37,90.7%,9.3%,D+,39,89.7%,10.3%,D+,36,88.5%,11.5%,100%,0%,37.4%,19.0%,18.0%,22.1%,0.3%,3.4%,,,34,"190,431","168,491","21,940",0,"250,436",0,,,37.4,"268,093","27,474",38.7,"281,187","32,213",36.0,702076,240266,134641,146220,148205,2015,30729,561936,210024,106546,100941,123914,1673,18838,,,North Dakota,91.0%,1.0%,1.5%,1.1%,4.4%,1.0%,39.9%,60.1%,R+,12,40.0%,60.0%,,-12.08,,,,34,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245,124827,188163,0.399896,0.600104
California 14th,CA-14,Jackie,Speier,(JACK-ee SPEAR),/'dʒæ.ki spɪəɹ/,1950,Roman Catholic,2008*,76.7%,23.3%,D+,23,75.9%,24.1%,D+,24,75.0%,25.0%,D+,21,76.7%,23.3%,78.9%,21.1%,39.3%,3.4%,22.0%,32.4%,0.2%,2.7%,,,35,"149,130","114,375","34,755",0,"203,828","54,455",,,22.6,"200,343","63,589",23.9,"199,653","66,677",21.3,702860,259361,22764,171572,221935,1118,26110,553566,217820,19000,121763,179300,930,14753,,,Ohio,83.2%,11.3%,2.5%,1.7%,0.2%,1.1%,51.5%,48.5%,R+,0,49.3%,50.7%,,-0.45,,,,35,11536504,9359263,1389115,354674,194165,20906,218381,8805753,7330425,993016,218924,147897,16698,98793,2827709,2661437,0.492968,0.507032
California 15th,CA-15,Eric,Swalwell,(AIR-ick SWAWL-well),/'ɛ.ɹɪk 'swɔl.wɛl/,1980,Christian,2012,69.8%,30.2%,D+,16,69.5%,30.5%,D+,18,69.0%,31.0%,D+,15,69.8%,30.2%,100%,0%,41.0%,6.5%,21.0%,28.1%,0.3%,3.2%,,,36,"142,904","99,756","43,148",0,231034,0,,,16.4,"177,243","77,748",17.5,"182,142","81,958",15.3,703021,264503,45726,164646,196110,1912,30124,525308,215417,33904,110392,147403,1477,16715,,,Oklahoma,72.8%,6.9%,7.1%,1.8%,7.4%,4.0%,33.2%,66.8%,R+,19,37.1%,62.9%,,-18.74,,,,36,3751351,2575381,272071,332007,68131,308733,195028,2821685,2055504,195546,199457,51631,207883,111664,443547,891325,0.371393,0.628607
California 16th,CA-16,Jim,Costa,(JIM KAH-stuh),/dʒɪm 'kɑ.stə/,1952,Roman Catholic,2004,50.7%,49.3%,D+,7,59.8%,40.2%,D+,8,59.4%,40.6%,D+,6,50.7%,49.3%,57.4%,42.6%,30.2%,6.1%,52.9%,8.5%,0.7%,1.7%,,,37,"91,220","46,277","44,943",0,"84,649","62,801",,,6.8,"88,973","59,808",7.8,"88,039","60,099",5.7,703467,176602,40783,408115,60491,4226,13250,478738,144747,28987,253034,40776,3203,7991,,,Oregon,82.1%,1.6%,9.1%,3.9%,1.1%,2.2%,56.3%,43.7%,D+,4,56.7%,43.3%,,4.31,,,,37,3831074,3005848,64984,450062,152133,42706,115341,2964621,2432835,46946,269748,117036,31862,66194,970488,754175,0.566951,0.433049
California 17th,CA-17,Mike,Honda,(MIKE HAHN-duh),/maɪk 'hɑn.də/,1941,Protestant,2000,100%,0%,D+,20,73.8%,26.2%,D+,22,71.2%,28.8%,D+,18,100%,0%,73.5%,26.5%,30.0%,2.4%,15.6%,49.3%,0.2%,2.5%,,,38,"134,408","134,408",0,0,"159,392","57,336",,,19.7,"163,862","58,193",21.8,"166,096","67,127",17.5,705190,188718,16705,122990,350699,1365,24713,539199,161494,12808,84268,265956,944,13729,,,Pennsylvania,81.8%,9.7%,4.6%,2.7%,0.1%,1.0%,52.7%,47.3%,D+,1,50.9%,49.1%,,0.77,,,,38,12702379,10094652,1327091,719660,349003,16909,195064,9910224,8111276,963866,459421,266785,13163,95713,2990274,2680434,0.509044,0.490956
California 18th,CA-18,Anna,Eshoo,(ANN-uh EH-shoo),/'æ.nə 'ɛ.ʃu/,1942,Roman Catholic,1992,67.8%,32.2%,D+,18,70.2%,29.8%,D+,18,71.8%,28.2%,D+,18,67.8%,32.2%,70.5%,29.5%,61.1%,2.0%,15.0%,19.2%,0.2%,2.5%,,,39,"196,386","133,060","63,326",0,"212,831","89,103",,,18.2,"218,082","92,457",18.3,"231,779","91,028",18.1,701054,406641,13065,119163,134007,1444,26734,541587,331125,10594,81120,104146,1195,13407,,,Rhode Island,79.8%,4.5%,10.2%,2.8%,0.4%,2.3%,64.0%,36.0%,D+,12,61.2%,38.8%,,12.05,,,,39,1052567,803685,51560,130655,30293,4020,32354,828611,660823,37225,84715,23497,2933,19418,279677,157204,0.612285,0.387715
California 19th,CA-19,Zoe,Lofgren,(ZOH LAWF-gren),/zoʊ 'lɔf.gɹɛn/,1947,Lutheran,1994,100%,0%,D+,19,72.9%,27.1%,D+,21,69.9%,30.1%,D+,16,100%,0%,73.2%,26.8%,30.4%,3.0%,37.2%,27.0%,0.3%,2.1%,,,40,"127,788","127,788",0,0,"162,300","59,313",,,18.6,"165,530","61,643",20.9,"159,069","68,479",16.2,700886,189148,19865,290200,181245,1917,18511,521393,158639,15729,193759,140784,1517,10965,,,South Carolina,66.7%,26.3%,4.3%,1.3%,0.4%,0.9%,44.7%,55.3%,R+,7,43.7%,56.3%,,-7.27,,,,40,4625364,2962740,1279998,235682,60420,16614,69910,3544890,2365767,932892,154176,46258,12613,33184,865941,1071645,0.436767,0.563233
California 20th,CA-20,Sam,Farr,(SAM FAHR),/sæm fɑɹ/,1941,Episcopalian,1993*,75.2%,0%,D+,20,73.0%,27.0%,D+,21,73.4%,26.6%,D+,20,100%,0%,74.1%,25.9%,44.9%,2.2%,44.4%,6.0%,0.4%,2.1%,,,41,"141,041","106,031",0,"35,010","172,996","60,566",,,20.4,"168,956","62,427",21.1,"175,070","63,368",19.7,704856,276231,13944,356892,37633,2460,17696,525025,235633,11761,233001,31566,2005,11059,,,South Dakota,87.8%,1.0%,2.1%,0.9%,6.9%,1.1%,40.8%,59.2%,R+,11,39.5%,60.5%,,-11.18,,,,41,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938,145039,210610,0.394534,0.605466
California 21st,CA-21,David,Valadao,(DAY-vid val-uh-DAY-oh),/'deɪ.vɪd ˌvæ.lə.'deɪ.oʊ/,1977,Roman Catholic,2012,42.2%,57.8%,D+,2,55.7%,44.3%,D+,4,53.6%,46.4%,R+,0,42.2%,57.8%,42.2%,57.8%,23.2%,5.3%,65.9%,3.8%,0.6%,1.2%,,,42,"79,377","33,470","45,907",0,"49,119","67,164",,,1.8,"65,146","51,917",3.7,"66,369","57,390",-0.1,700644,134972,31296,497434,23677,3702,9563,473659,110029,24960,312130,18103,2713,5724,,,Tennessee,78.1%,15.5%,3.8%,1.4%,0.3%,1.0%,39.6%,60.4%,R+,12,32.8%,67.2%,,-12.32,,,,42,6346105,4800782,1049391,290059,93078,16302,96493,4850104,3787577,750653,182006,69305,13005,47558,960709,1462330,0.328126,0.671874
California 22nd,CA-22,Devin,Nunes,(DEH-vin NOO-niss),/'dɛ.vɪn 'nu.nɪs/,1973,Roman Catholic,2002,28.0%,72.0%,R+,10,42.4%,57.6%,R+,10,43.8%,56.2%,R+,10,28.0%,72.0%,38.1%,61.9%,48.0%,2.8%,39.4%,7.4%,0.6%,1.8%,,,43,"133,342","37,289","96,053",0,"81,555","132,386",,,-9.7,"92,005","125,213",-9.6,"95,918","122,957",-9.9,704840,298022,19708,316151,51311,4125,15523,499241,239522,13868,196766,37184,3102,8799,,,Texas,49.6%,11.4%,33.6%,4.0%,0.3%,1.1%,42.0%,58.0%,R+,10,40.0%,60.0%,,-9.97,,,,43,25145561,11397345,2886818,9460921,966346,80586,353538,18279734,9074684,2076279,6143144,729880,61856,193891,3308124,4569843,0.400343,0.599657
California 23rd,CA-23,Kevin,McCarthy,(KEH-vin muh-CAR-thee),/'kɛ.vɪn mə.'kɑɹ.θi/,1965,Baptist,2006,25.2%,74.8%,R+,16,37.0%,63.0%,R+,15,37.5%,62.5%,R+,16,25.2%,74.8%,0%,100%,55.7%,5.7%,30.8%,4.8%,0.9%,2.1%,,,44,"134,043","33,726","100,317",0,0,"158,161",,,-15.6,"82,119","139,816",-15.0,"85,903","143,411",-16.2,701673,355329,41191,248938,31516,6304,18395,503535,280367,28523,155326,23953,4696,10670,,,Utah,82.6%,0.9%,11.3%,3.0%,1.0%,1.2%,25.4%,74.6%,R+,27,32.2%,67.8%,,-26.59,,,,44,2763885,2221712,25951,358340,78085,27081,52709,1892855,1563565,16407,214494,56477,18438,23474,251813,740600,0.322138,0.677862
California 24th,CA-24,Lois,Capps,(LOW-iss KAPPS),/'loʊ.ɪs kæps/,1938,Lutheran,1998*,51.9%,48.1%,D+,4,55.6%,44.4%,D+,4,57.8%,42.2%,D+,4,51.9%,48.1%,55.1%,44.9%,62.0%,2.0%,29.0%,4.5%,0.5%,2.1%,,,45,"198,794","103,228","95,566",0,"156,749","127,746",,,3.9,"158,119","126,049",3.7,"175,426","127,919",4.1,703683,402081,12497,239822,28931,3282,17070,553080,343003,10813,160320,24762,2712,11470,,,Vermont,95.2%,0.8%,1.3%,1.2%,0.3%,1.2%,68.2%,31.8%,D+,16,59.0%,41.0%,,16.28,,,,45,625741,590223,5943,9208,8015,2023,10329,496508,472559,3840,6328,5993,1619,6169,199239,92698,0.589544,0.410456
California 25th,CA-25,Steve,Knight,(STEVE NITE),/stiv naɪt/,1966,Roman Catholic,2014,0%,100%,R+,3,49.1%,50.9%,R+,3,50.7%,49.3%,R+,3,0%,100%,45.2%,54.8%,50.3%,7.6%,31.5%,8.1%,0.3%,2.2%,,,46,"114,072",0,"114,072",0,"106,982","129,593",,,-2.9,"120,701","125,258",-2.9,"122,998","119,413",-2.9,701281,321359,56375,247883,53335,2151,20178,501767,252616,38092,158077,40478,1691,10813,,,Virginia,67.2%,18.5%,6.9%,5.5%,0.3%,1.6%,52.0%,48.0%,D+,0,56.3%,43.7%,,0.00,,,,46,8001024,5186450,1523704,631825,441359,20679,197007,6147347,4133385,1135015,426857,338098,16173,97819,1971820,1822522,0.563351,0.436649
California 26th,CA-26,Julia,Brownley,(JOO-lee-uh BROWN-lee),/'dʒu.li.ə 'bɹaʊn.li/,1952,Episcopalian,2012,51.3%,48.7%,D+,4,55.2%,44.8%,D+,3,57.8%,42.2%,D+,4,51.3%,48.7%,52.7%,47.3%,50.9%,1.8%,38.4%,6.9%,0.3%,1.7%,,,47,"169,829","87,176","82,653",0,"139,072","124,863",,,3.7,"147,753","119,677",3.3,"160,865","117,673",4.1,707145,326988,11594,304625,45590,2001,16347,523593,266606,9206,200923,36133,1613,9112,,,Washington,76.1%,3.3%,8.9%,7.8%,1.3%,2.7%,57.6%,42.4%,D+,6,55.3%,44.7%,,5.66,,,,47,6724540,4876804,229603,755790,514417,88735,259191,5143186,3916304,168177,456355,400615,64574,137161,1755396,1290670,0.552757,0.447243
California 27th,CA-27,Judy,Chu,(JOO-dee CHOO),/'dʒu.ɾi tʃu/,1953,Baptist,2009*,59.4%,40.6%,D+,11,64.1%,35.9%,D+,12,63.1%,36.9%,D+,9,59.4%,40.6%,64.0%,36.0%,31.3%,4.5%,24.4%,38.0%,0.2%,1.7%,,,48,"127,580","75,728","51,852",0,"154,191","86,817",,,10.8,"161,528","90,278",12.2,"165,471","96,882",9.4,704160,205453,31301,190005,259948,1052,16401,558942,174820,25275,136134,212299,845,9569,,,West Virginia,93.9%,3.3%,1.0%,0.7%,0.2%,0.9%,36.3%,63.7%,R+,16,55.1%,44.9%,,-15.64,,,,48,1852994,1726256,62122,22268,12672,3493,26183,1465576,1376801,48118,14764,10130,2902,12861,238269,417655,0.550624,0.449376
California 28th,CA-28,Adam,Schiff,(ADD-uhm SHIFF),/'æ.ɾəm ʃɪf/,1960,Jewish,2000,76.5%,0%,D+,20,72.6%,27.4%,D+,21,72.1%,27.9%,D+,18,100%,0%,76.5%,23.5%,58.1%,2.5%,23.0%,13.6%,0.2%,2.7%,,,49,"120,264","91,996",0,"28,268","188,703","58,008",,,19.5,"187,441","70,757",20.6,"192,035","74,339",18.4,700877,389271,16269,178368,94498,1080,21391,582270,338469,14400,133994,78940,975,15492,,,Wisconsin,86.3%,5.4%,4.6%,2.0%,0.8%,0.9%,53.5%,46.5%,D+,2,49.9%,50.1%,,1.55,,,,49,5686986,4738411,350898,336056,129617,48511,83493,4347494,3753673,234526,199822,87810,34419,37244,1620985,1407966,0.499249,0.500751
California 29th,CA-29,Tony,Cardenas,(TOH-nee CAR-deh-nahs) [R is trilled],/'to.ni 'kɑr.dɛ.nas/,1963,Christian,2012,74.6%,25.4%,D+,25,79.0%,21.0%,D+,27,76.0%,24.0%,D+,22,74.6%,25.4%,100%,0%,21.7%,4.0%,64.1%,8.5%,0.2%,1.4%,,,50,"67,141","50,096","17,045",0,"111,287",0,,,24.7,"129,323","34,454",27.0,"109,792","34,641",22.3,701446,128951,25537,482104,52695,1330,10829,512286,111330,20288,328545,43662,1078,7383,,,Wyoming,87.9%,0.8%,7.5%,0.9%,1.8%,1.1%,28.8%,71.2%,R+,23,25.9%,74.1%,,-23.13,,,,50,563626,483874,4351,50231,4644,11784,8742,428224,376530,3265,32070,3757,7764,4838,69286,170962,0.258514,0.741486
California 30th,CA-30,Brad,Sherman,(BRADD SHUR-muhn),/bɹæd 'ʃɜɹ.mən/,1954,Jewish,1996,65.6%,34.4%,D+,14,67.0%,33.0%,D+,15,67.3%,32.7%,D+,14,65.6%,34.4%,100%,0%,56.6%,4.2%,24.0%,12.3%,0.2%,2.7%,,,51,"131,883","86,568","45,315",0,247851,0,,,14.4,"186,301","91,680",15.1,"181,568","88,085",13.6,705295,376090,29570,190750,84259,1214,23412,559607,316869,23509,134303,68605,1018,15303,,,Washington DC,38.3%,47.0%,8.5%,3.9%,0.2%,2.1%,92.6%,7.4%,D+,41,,,,40.62,,,,51,601723,209464,301053,54749,21034,1322,14101,500908,191933,235249,42708,19416,1143,10459,267070,21381,,
