,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
77,351406683,16686352,05,113,N,2705,+44.9809694,-093.2942005,C2,G5200,Congressional District 5,27,0.04199468324648714,1.1907403612386278,0.37219
78,1286289173,22911803,04,113,N,1304,+33.6996000,-084.0505632,C2,G5200,Congressional District 4,13,0.12731358677389065,2.4686662089038043,0.26252
79,10826590949,135462412,03,113,N,1803,+41.0965541,-085.2361776,C2,G5200,Congressional District 3,18,1.1750412840595859,5.205059901450605,0.54502
80,85985850819,503981072,04,113,N,0404,+34.5909175,-113.2045275,C2,G5200,Congressional District 4,04,8.50193437554979,29.715470944949704,0.12099
81,10949927891,526917021,07,113,N,2607,+42.0936084,-084.3049549,C2,G5200,Congressional District 7,26,1.2490124831309521,7.7241095551426024,0.26308
82,3365059049,44884831,04,113,N,4504,+34.9417009,-082.1701563,C2,G5200,Congressional District 4,45,0.33646483944508937,4.047487983014971,0.25809
83,4475186521,2524351258,01,113,N,5501,+42.6952148,-088.0463951,C2,G5200,Congressional District 1,55,0.7689559966499844,6.090525479232284,0.2605
84,134399412,184588482,05,113,N,3605,+40.5991791,-073.8223027,C2,G5200,Congressional District 5,36,0.03393787646050983,1.3375338250557862,0.23839
85,471484236,373962093,02,113,N,3602,+40.6853292,-073.2884866,C2,G5200,Congressional District 2,36,0.09005748745249006,1.6336919785313124,0.42402
86,660307121,301713541,03,113,N,3603,+40.8604959,-073.5053788,C2,G5200,Congressional District 3,36,0.10274537393100147,1.7413768022207936,0.42578
87,287092974,168424775,04,113,N,3604,+40.6369483,-073.6059099,C2,G5200,Congressional District 4,36,0.04848853813400117,1.1670519828254478,0.44737
88,12082174683,122476834,04,113,N,3904,+40.3871749,-083.9357033,C2,G5200,Congressional District 4,39,1.300756707554646,10.656961565014434,0.14393
89,5368515312,17442232,18,113,N,4218,+40.1705353,-080.0275169,C2,G5200,Congressional District 18,42,0.5693322198375214,6.5508531002422865,0.16672
90,542042542,26842491,14,113,N,4214,+40.4325410,-079.9056963,C2,G5200,Congressional District 14,42,0.060377223631469724,2.623302384012549,0.11025
91,5602305968,59304232,12,113,N,4212,+40.4284125,-079.4864996,C2,G5200,Congressional District 12,42,0.6007931788984462,8.77362924753293,0.09808
92,9516605921,147683541,06,113,N,3706,+36.3104088,-079.6783956,C2,G5200,Congressional District 6,37,0.9697256731364952,10.206508523424686,0.11698
93,472233618,4644349190,98,113,N,6998,+14.9300772,+145.6425305,C4,G5200,Delegate District (at Large),69,0.4340103475405001,8.425365367098598,0.07683
94,26266695180,306899655,02,113,N,0102,+31.7020846,-086.0768417,C2,G5200,Congressional District 2,01,2.5283321096773763,12.161478120058005,0.21482
95,9384314904,51593050,14,113,N,1314,+34.4305862,-085.0978762,C2,G5200,Congressional District 14,13,0.9254712583850088,6.139766936519393,0.30851
96,3510589063,467079153,05,113,N,1205,+29.3852027,-081.7512099,C2,G5200,Congressional District 5,12,0.36970410850481333,10.987477123858506,0.03848
97,2926785923,697917045,10,113,N,1210,+28.5160182,-081.7411867,C2,G5200,Congressional District 10,12,0.3341117845819537,4.577645736028605,0.20036
98,23642121888,4517878521,27,113,N,4827,+28.7829945,-096.8414071,C2,G5200,Congressional District 27,48,2.60230923990407,13.162302927338802,0.18876
99,21213105382,3364572718,34,113,N,4834,+26.7738163,-097.9253663,C2,G5200,Congressional District 34,48,2.24643433622598,15.04868744784925,0.12465
100,10252693034,132224988,02,113,N,1802,+41.2487244,-086.2367980,C2,G5200,Congressional District 2,18,1.1155414657929723,5.516949777960115,0.46057
101,5371387645,59048713,05,113,N,4005,+35.3078792,-096.9896037,C2,G5200,Congressional District 5,40,0.5381993499916381,5.025705040394529,0.26777
